titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Pablo Bronstein;director;Productor;2012;idioma;Argentina;formato;4 min;si;compañia;"";"";"";"";Cortometraje
jhgjg;jhgj;jhg;jhg;jhg;Argentina;jhg;76 min;si;765;"";"";"";"";Cortometraje
Un Seul Corps;Sotiris Dounoukos;Francois Pierre Clavel;2014;French;Australia;DCP;19 min;no;Nestani Films;"";"";"";"";Cortometraje
le champ de bataille;talia lumbroso;delphine benroubi;2014;french;Francia;DCP, HD file;38 min;no;Palikao Films;"";"";"";"";Cortometraje
Le champ de bataille;Talia Lumbroso;Delphine Benroubi;2014;french;Argentina;DCP , HD file;38 min;si;Palikao Films;"";"";"";"";Cortometraje
VOCES EN EL AIRE;Jimena Echeverría, Nicolás Cuiñas, Diego Bürger;Jimena Echeverría, Nicolás Cuiñas, Diego Bürger;2014;español;Argentina;DCP;11 min;no;trestipos films;"";"";"";"";Cortometraje
Pablo Bronstein;kjhkh;kjhkh;56464;khk;Argentina;kkhjkh;98 min;si;987;"";"";"";"";Cortometraje
The Automatic Hate;Justin Lerner;Alix Madigan, Lacey Leavitt, Justin Lerner;2014;English;Estados Unidos;DCP (24 fps);97 min;no;BN Films & Leaky Pictures;"";"";"";"";Cortometraje
Hafta Sonu Tatili;Metehan Yilmaz;Zoe Johanna Horn;2014;Turkish;Turquía;DCP or ProRes LT files;28 min;si;MMY House;"";"";"";"";Cortometraje
Constitución;Jorge Pablo Dieguez;Jorge Pablo Dieguez;2014;español;Argentina;Digital o blueray;9  min;no;LaCueva.tv;"";"";"";"";Cortometraje
Una diapositiva;Mariano Graglia;Mariano Graglia;2014;español;Argentina;ProRes;6m min;si;Independiente;"";"";"";"";Cortometraje
Monedita ;Gonzalo Mejia ;Galo Cedeño ;2014 ;Español ;Ecuador;ProRes ;05 min;no;Omerta Producciones ;Mejor Corto 2014 - Mejor Director - Mejor Producción ;"";"";"";Cortometraje
Traeme tu amor ;Kenneth Carrera y Andrea Espinoza ;Carla Cañarte ;2014 ;Español ;Ecuador;Prores ;05 min;no;Omerta Producciones ;Mejor Actriz ;"";"";"";Cortometraje
Dulce Dolor;Moisés Aisemberg;Juan Sarquis ;2014;Sin diálogos;México;DCP;14 min;no;Filmaciones de la Ciudad ;"";"";"";"";Cortometraje
La maldita ilusión;Sergio Bonacci Lapalma;Sergio Bonacci Lapalma;2014;Español;Argentina;MP4 H.264;23 min;no;Maldita Producciones;"Declarado de \""Interés Comunal\"" por el gobierno municipal en la localidad donde se grabo.";"";"";"";Cortometraje
O Filho Pródigo;Felipe Arrojo Poroger;Diana land;2014;Português;Brasil;DCP (24fps);15 min;no;Finos Filmes;18ºCINE-PE: Mejor Guión, Mejor Actor, Mejor Actriz;"";"";"";Cortometraje
Small People with Hats;Sarina Nihei;Joan Ashworth;2014;English;Reino Unido;Quicktime H.264;06 min;si;Royal College of Art;Best student film at Anim\est, Bucharest/ Korea Animation Producers Association President\s Prize at PISAF 2014;"";"";"";Cortometraje
Hymn for him;Nikolay Sidorov;Vitalii Kozlenkov;2014;Russian/ Lithuanian;Rusia;MPEG4;06 min;si;Vit&Niko;-;"";"";"";Cortometraje
L\isola che c\era;alberto gambato;alberto gambato;2014;italian;Italia;h264 1080p;10 min;no;alberto gambato;Special Mention @ Green Screen Fest 2014 - Belgrade (SRB);"";"";"";Cortometraje
Entra. Acabou-se a 1ª Classe;Paulo Carneiro;Paulo Carneiro;2014;Creole and Portuguese;Guinea-Bissau;Bluray, archivos digitales ProResLT;30 min;si;Paulo Carneiro;"";"";"";"";Cortometraje
motu maeva;Maureen Fazendeiro;G.R.E.C / terratreme;2014;French, dutch;Francia;DCP;42 min;no;GREC;Best Short Film National Competition - DocLisboa;"";"";"";Cortometraje
Fruta Podrida;Sergi Arnau;Sergi Arnau;2014;Español;España;Archivo digital HD;13 min;si;/;/;"";"";"";Cortometraje
test en prd;test;test;554353;test;Argentina;test;te min;si;test;test;"";"";"";Cortometraje
Hvordan jeg bor, som du gerne ville vide;Christian Einshøj;Christian Einshøj;2014;Danish;Dinamarca;DCP;15 min;no;Norman Film;-;"";"";"";Cortometraje
(H)iviñas;Leandro Olgiati;Federico Araya;2014;Español;Argentina;DCP;9m min;no;Laboratorio Audiovisual Comunitario;"";"";"";"";Cortometraje
Luz, sombra e medo;mauricio bartok;mauricio bartok;2014;Portuguese;Brasil;digitales;3m min;no;mauricio bartok;none;"";"";"";Cortometraje
Debajo del tiempo;Matias Buzzalino;Carina Resnisky;2014;español;Argentina;DCP, ProResLT;15 min;si;Fauves Cine;"";"";"";"";Cortometraje
Memories & Guns;Vittorio Adinolfi;Edison Film;2014;Italian;Italia;DCP;72 min;si;Edison Film;"";"";"";"";Cortometraje
Debajo del tiempo;Matías Buzzalino;Carina Resnisky;2014;español;Argentina;DCP / archivo digital ProResLT;15 min;si;Fauves Cine;"";"";"";"";Cortometraje
PIEDRAS EN EL ZAPATO;CARLOS ROJAS;JOSE LEDESMAN;2013;ESPAÑOL;Colombia;HDCAM;46 min;si;EL SALMON URBANO ;NINGUNO;"";"";"";Cortometraje
La vie de chantier;Yann Pierre;Myriam Martou;2014;French/Portuguese;Francia;DCP, Pro res ;34 min;no;Grec;"";"";"";"";Cortometraje
Filme Som;Cesar Gananian and Alexandre Moura;Cesar Gananian and Ana Lisboa;2014;no dialogues;Brasil;DCP;9m min;si;Film Design;n/a;"";"";"";Cortometraje
Inercia;Lucía Osorio;Constanza Villalba;2014;Castellano;Argentina;HDCAM;12 min;si;Universidad Del Cine;"";"";"";"";Cortometraje
Greetings to the Ancestors;Ben Russell;Ben Russell;2014;Xhosa;Estados Unidos;DCP;29 min;no;Ben Russell;"";"";"";"";Cortometraje
Atlantis;Ben Russell;Ben Russell;2014;Maltese;Estados Unidos;DCP;23 min;no;Ben Russell;Prix du Nouvelles Vagues, Festival La Roche-sur-Yon;"";"";"";Cortometraje
HOLLYWOOD NAD DNIPROM. SNY Z ATLANTYDY;Oleg Chorny;Igor Savychenko;2014;Ukrainian&Russian;Ucrania;DCP;89 min;no;Directory Films With support of  Ukrainian State Film Agency;"";"";"";"";Cortometraje
Un Clásico;Natasha Gurfinkel;María Fernanda Velazquez, Natasha Gurfinkel, Universidad del Cine de Buenos Aires;2013;Español;Argentina;DCP, archivos digitales ProRes LT;6  min;no;Universidad del Cine de Buenos Aires;Premio del público en la muestra anual de cortos de la Universidad del Cine de Buenos Aires.;"";"";"";Cortometraje
DesaGüe;Agustin de Torres;Agustin de Torres;2014;Español;Argentina;Archivo Digital;11 min;no;Big Empanada;Mención Especial: Festival Nuevas Miradas para la Infancia y la Adolescencia 2014;"";"";"";Cortometraje
Por ver la luz en tus pupilas, decía mordicante el réprobo.;Simón Vélez;Simón Vélez;2014;Castellano;Argentina;DCP, ProRes, BluRay;8: min;si;Montañero cine;0;"";"";"";Cortometraje
Papillons de nuit;Kaspar Vogler;Kaspar Vogler;2014;french;Bélgica;DCP;19 min;si;self production;"";"";"";"";Cortometraje
Viaje de un hombre solo;Jorge Peña;Jorge Peña;2014;Castellano ;España;Digital (ProRes), Blueray;28 min;no;El árbol Boca Abajo;"";"";"";"";Cortometraje
Algum Lugar no Recreio;Caroline Fioratti;Rui Pires y André Montenegro;2014;Português;Brasil;DCP;22 min;si;Aurora Filmes;-;"";"";"";Cortometraje
Monedita ;Gonzalo Mejia ;Galo Cedeño ;2014 ;Español ;Ecuador;ProRes ;5: min;no;Omerta Producciones ;Mejor dirección, Mejor Producción, Mejor Cortometraje ;"";"";"";Cortometraje
Traeme tu Amor ;Kenneth Carrera y Andrea Espinoza ;Carla Cañarte ;2014 ;Español ;Ecuador;ProRes;5: min;no;Omerta Producciones ;Mejor Acrtriz ;"";"";"";Cortometraje
Traeme tu Amor ;Kenneth Carrera y Andrea Espinoza ;Carla Cañarte ;2014 ;Español ;Ecuador;ProrRes ;5: min;no;Omerta Producciones ;Mejor Acrtriz ;"";"";"";Cortometraje
1 mes y 2 días;Silvana Lopa;Silvana Lopa;2014;Español;Argentina;ProRes LT - DCP 24 fps;5m min;no;Silvana Lopa;"";"";"";"";Cortometraje
OUT;Joan Antúnez;Mariana Bastos;2014;Español;España;Archivo Digital ProRes;17 min;si;No;"";"";"";"";Cortometraje
CADENCIA;VIRGINIA ROTA;AULA ABIERTA S.A (ESCUELA UNIVERSITARIA TAI);2014;CASTELLANO;España;HDCAM;19 min;no;Aula Abierta S.A (Escuela Universitaria TAI);Actualmente en competición en la sección Cortometraje Documental Internacional en el Festival ICARO (Centroamérica);"";"";"";Cortometraje
Da meia-noite pro\ dia;Vanessa Duarte;Vanessa Duarte;2014;Portuguese;Portugal;H.264 (.mp4);23 min;no;No production company;"";"";"";"";Cortometraje
Y fue así que se convirtió en la Noche;Rosario Gianola;Analía Cura Caram- Rosario Gianola -Virginia Villafañe- Federico Paez  - Leonel Marco - Lorena Hurtado - Elias Huespe;2013-2014;ESPAÑOL;Argentina;HD/16:9/25p;00 min;si;NAPOLEÓN PRODUCCIONES;"";"";"";"";Cortometraje
Lucha Libre;Ann SIROT & Raphaël BALBONI;Jean-Yves ROUBIN;2013;french;Bélgica;DCP;12 min;no;Frakas Productions;"";"";"";"";Cortometraje
Picture Particles;Thorsten Fleisch;Thorsten Fleisch;2014;no dialogue;Alemania;DCP;5: min;no;Fleischfilm;none;"";"";"";Cortometraje
Para los Amigos;Paulina Dana ;Micaela Picco;2014;español;Argentina;DCP, ProRes;18 min;si;-;"";"";"";"";Cortometraje
La Montaña que Llora;Santiago Sánchez Ortega;Alexan Sarikamichian;2014;español;Argentina;dcp, prores;20 min;no;Lech\on Films;"";"";"";"";Cortometraje
TNB;Robert Bohrer, Emma Rosa Simon;Matthias Nerlich, Robert Bohrer, dffb;2014;German & French;Alemania;dcp;28 min;si;-;"";"";"";"";Cortometraje
NO ES LO QUE PARECE;MIGUEL ANGEL MOREIRAS;MIGUEL ANGEL MOREIRAS;2014;ESPAÑOL;Argentina;HDCAM;31 min;si;CLARA DE MAR PROD INDEPENDIENTES;---;"";"";"";Cortometraje
Boombox Eryri;Eilir Pierce;Migrations;2013;No Dialouge;Reino Unido;HDCAM;10 min;no;Migrations;Winner: MonMade Category;"";"";"";Cortometraje
Not a word about your mother;Daria Razumnikova;Elena Glikman;2014;Russian;Rusia;ProRes LT files;14 min;no;Ladya;"";"";"";"";Cortometraje
