fecha;hora;co_centenario;no2_centenario;pm10_centenario;co_cordoba;no2_cordoba;pm10_cordoba;co_la_boca;no2_la_boca;pm10_la_boca
2017-01-01;1;0,7; ; ;0,81;19;19; ;2;43
2017-01-01;2;0,72; ; ;0,79;16;20; ;2;46
2017-01-01;3;0,72; ; ;0,82;23;19; ;1;46
2017-01-01;4;0,73; ; ;0,81;16;20; ;2;51
2017-01-01;5;0,73; ; ;0,73;11;20; ;2;50
2017-01-01;6;0,69; ; ;0,65;11;20; ;2;49
2017-01-01;7;0,63; ; ;0,6;14;20; ;3;49
2017-01-01;8;0,61; ; ;0,57;18;20; ;3;49
2017-01-01;9;0,6; ; ;0,55;18;21; ;2;50
2017-01-01;10;0,57; ; ;0,52;15;23; ;3;50
2017-01-01;11;0,55; ; ;0,44;14;23; ;2;48
2017-01-01;12;0,52; ; ;0,4;15;22; ;2;47
2017-01-01;13;0,49; ; ;0,4;16;22; ;1;47
2017-01-01;14;0,48; ; ;0,41;17;21; ;2;46
2017-01-01;15;0,46; ; ;0,42;18;21; ;1;47
2017-01-01;16;0,44; ; ;0,41;21;20; ;1;45
2017-01-01;17;0,42; ; ;0,43;18;20; ;2;46
2017-01-01;18;0,42; ; ;0,45;18;20; ;1;46
2017-01-01;19;0,43; ; ;0,5;24;20; ;1;45
2017-01-01;20;0,43; ; ;0,55;28;20; ;2;42
2017-01-01;21;0,44; ; ;0,61;30;20; ;3;37
2017-01-01;22;0,46; ; ;0,68;32;19; ;3;36
2017-01-01;23;0,48; ; ;0,7;27;22; ;3;37
2017-01-01;24;0,48; ; ;0,7;23;24; ;3;36
2017-01-02;1;0,49; ; ;0,71;22;25; ;5;33
2017-01-02;2;0,49; ; ;0,68;16;26; ;20;30
2017-01-02;3;0,47; ; ;0,63;14;26; ;10;30
2017-01-02;4;0,45; ; ;0,57;16;26; ;21;26
2017-01-02;5;0,42; ; ;0,49;15;27; ;16;28
2017-01-02;6;0,38; ; ;0,4;16;29; ;7;31
2017-01-02;7;0,34; ; ;0,36;18;33; ;8;33
2017-01-02;8;0,33; ; ;0,37;21;35; ;7;36
2017-01-02;9;0,33; ; ;0,37;20;38; ;5;37
2017-01-02;10;0,33; ; ;0,39;19;39; ;6;40
2017-01-02;11;0,33; ; ;0,45;17;42; ;7;44
2017-01-02;12;0,35; ; ;0,51;16;45; ;5;48
2017-01-02;13;0,37; ; ;0,6;16;48; ;5;51
2017-01-02;14;0,4; ; ;0,71; ;51; ;6;54
2017-01-02;15;0,43; ; ;0,78; ;53; ;6;61
2017-01-02;16;0,45; ; ;0,83; ;55; ;6;64
2017-01-02;17;0,45; ; ;0,87;12;57; ;6;66
2017-01-02;18;0,46; ; ;0,92;11;59; ;7;68
2017-01-02;19;0,48; ; ;0,95;11;60; ;9;70
2017-01-02;20;0,49; ; ;0,96;12;61; ;7;73
