FECHA DE EVENTO,CATEGORÍA PC,INSTANCIA,NOMBRE ACTIVIDAD,MODALIDAD,ÁREA,PARTICIPACIÓN CIUDADANA,DIRECCIÓN,COMUNA,DESCRIPCIÓN,INSCRIPTOS,ASISTENTES,CANTIDAD DE VOTOS,RESULTADO VOTACION,RELEVAMIENTOS DE OPINIÓN
04/03/16,Proyecto,Votación Proyecto,JUEGOS PORTEÑOS,,Vice Jefatura,"Elección de la disciplina a incorporar. Tiro con arco, BMX o Golf",,,,,,24285,1. BMX - 11.681 - 48%2. Tiro con Arco - 8.839% 3. Golf - 3.765 - 16%,
11/03/16,Proyecto,Votación Proyecto,JORNADA DE ADOPCIÓN DE MASCOTAS,,Ministerio de Ambiente y Espacio Público (MAyEP),"En qué lugar te gustaría que se lleve a cabo una Jornada de Adopción de mascotas? Parque Chacabuco, Plaza Arenales, Plaza Dr. Juan B. Terán o Plaza J.F. Salaberry",Av. Asamblea y Emilio Mitre - Mercedes y Pareja - Melincué y Juan Esteban Martínez - Bragado y Pilar.,,La Jornada de Concientización sobre la Adopción de Mascotas es un evento mensual de tipo ferial donde participan más de 75 ONGs dando a conocer su labor y a los perros y gatos que están en adopción.,,,915805,1. Parque Chacacubo - 11.888 - 58% 2. Plaza Arenales - 6.089 - 30% 3. Plaza Dr. Juan B. Terán - 1.447 - 7% 4. Plaza J. F. Salaberry - 1.063 - 5%,
11/03/16,Obra,Reunión Informativa,CALLE TACUARÍ,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Reunion de presentación del proyecto (2da reunión directo) en el caso de Calle Tacuari porque ya no podemos dar a votacion. La Reunion es el Hipolito Yrigoyen 834 a las 18 hs.,Av de Mayo y Tacuari,1,"Peatonalización calles Tacuarí, Piedras, Chacabuco, Pasaje 5 de Julio, Bolívar, Alsina y Moreno.  Ordenamiento de tránsito y colectivos Completamiento de arbolado Revalorización de edificios emblemáticosOrdenamiento de marquesinas y publicidad",85,42,,,
16/03/16,Proyecto,Votación Proyecto,METROBUS SAN MARTÍN,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),¿Cual te gustaria que sea el nombre la estación del Metrobus que se va a inaugurar en Av. San Martin entre Juan B. Justo y Fragata Sarmiento? 1- Pedro Quartucci 2- Dr. Pedro Lagleyze 3- Pappo Napolitano,,,La traza va desde Av. Juan B. justo hasta Av. Gral Paz sobre Av. San Martin. La Extension del corredor es de 5.8 km y comprende 24 paradores y 12 estaciones.,,,37661,"1. Pappo Napolitano (Músico) - 21.354 - 56,7%2. Dr. Pedro Lagleyze (Médico) - 13.810 - 36,7%3. Pedro Quartucci (Boxeador y actor) - 2.497 - 6,6%",
21/03/16,Obra,Primera reunión,PARQUE THAYS,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Eleccion del arbolado. Equipamiento Urbano. Determinacion de usos en base a opciones ya definidas,Av. Figueroa Alcorta y Pueyrredon,2,Integración de los espacios verdes uniendo estación línea H con los estacionamientos sobre Av. Quiroga,75,42,,,
22/03/16,Obra,Primera reunión,PLAZA CONGRESO,,Ministerio de Ambiente y Espacio Público (MAyEP),1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias. La reunión se hará el 22-3 a las 9hs en Av. Callao 360.,"Entre Rios, Av. - Rivadavia, Av. - De Mayo, Av. - Saez Peña, Luis, Pres., Av. - Yrigoyen, Hipolito.",1,,266,36,,,
22/03/16,Obra,Primera reunión,PBN CONGRESO,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Visita de vecinos a la obra dias antes de su inauguracion. Estará presente la gente de AUSA para dar su correspondiente explicacion de las distintas etapas, etc.",Av. Congreso y Tronador (Coghlan),12,,266,36,,,
23/03/16,Obra,Reunión Informativa,MTB NORTE,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),En esta 1° Reunion se hará la presentacion del proyecto a los comerciantes y frentistas afectados por la obra. Luego en proximas instancias se podrá elegir el nombre de solo una estación. Opciones de votacion: 5 estaciones,,13,Actualmente la traza va desde Congreso de Tucuman hasta Av. Gral Paz. El proyecto Metrobus Cabilo etapa II propone extenderlo hasta la interseccion de Av Cabildo y Santos Dumont. Esta obra comprende 22 paradores y 5 estaciones.,,35,,,
29/03/16,Obra,Primera reunión,ENTORNO ESTACION RIVADAVIA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Determinacion de usos. Equipamiento Urbano.,Av. Caseros y Monteagudo.,13,,120,69,,,
30/03/16,Proyecto,Votación Proyecto,BAFICI AIRE LIBRE,,Ministerio de Cultura,"¿Cuál de estas películas te gustaría que inaugure la nueva edición del BAFICI en Parque Centenario? When Marnie was there (El Recuerdo de Marnie), Yoko y sus amigos o Song of the Sea (La Canción del Mar)",Antonio Machado y Av. Patricias Argentinas.,6,El próximo 13 de Abril se inagura una nueva edición del Festival de Cine Independiente más grande de Latinoamerica y la gran apertura se llevará a cabo al aire libre en Parque Centenario.,,,7721,"1. La canción del mar - 3.375 - 43,7% 2. El recuerdo de Marnie - 2.643 - 34,2% 3. Yoko y sus amigos - 1.703 - 22,1%",
